timestamp,visual_state,wearable_drowsy,fused_state,cpu_percent,energy_estimate
161.47390937805176,SLEEPY,False,SLEEPY,46.9,560.0220000000005
161.5446765422821,SLEEPY,False,SLEEPY,39.4,560.4160000000005
161.61579036712646,SLEEPY,False,SLEEPY,35.7,560.7730000000005
161.67451667785645,SLEEPY,False,SLEEPY,50.0,561.2730000000005
161.7464451789856,SLEEPY,False,SLEEPY,65.9,561.9320000000005
161.83077359199524,SLEEPY,False,SLEEPY,85.0,562.7820000000005
161.8981418609619,SLEEPY,False,SLEEPY,75.6,563.5380000000005
162.0008192062378,SLEEPY,False,SLEEPY,86.0,564.3980000000005
162.0705704689026,SLEEPY,False,SLEEPY,90.2,565.3000000000005
162.1284749507904,SLEEPY,False,SLEEPY,79.4,566.0940000000005
162.1862452030182,SLEEPY,False,SLEEPY,66.7,566.7610000000005
162.24684023857117,SLEEPY,False,SLEEPY,75.0,567.5110000000005
162.33070540428162,SLEEPY,False,SLEEPY,37.5,567.8860000000005
162.3816213607788,SLEEPY,False,SLEEPY,68.8,568.5740000000005
162.44875383377075,SLEEPY,False,SLEEPY,71.9,569.2930000000006
162.49465584754944,SLEEPY,False,SLEEPY,68.0,569.9730000000005
162.56665349006653,SLEEPY,False,SLEEPY,87.5,570.8480000000005
162.63157844543457,SLEEPY,False,SLEEPY,57.6,571.4240000000005
